timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1013465748198,36,-34,-7,-15,-17,-91,-46,3
1013465757190,23,10,-9,-2,18,42,16,-50
1013465757190,-1,17,5,-4,-11,-1,-14,8
1013465772216,-73,0,-10,-6,-9,-26,-23,-2
1013465772216,24,-11,8,7,24,21,48,-17
1013465773798,28,-4,-9,-1,-15,-35,-65,-16
1013465773798,-65,-1,-17,-15,-8,54,-83,-73
1013465794810,16,-59,-1,-2,-10,-62,-51,-6
1013465794810,-14,39,-4,6,38,80,-39,-41
1013465796364,-26,18,8,-11,-52,-76,88,86
1013465796364,16,-53,-12,-11,-31,-44,-53,-35
1013465808221,60,35,6,27,95,95,52,27
1013465808221,-52,30,12,-4,-49,1,-26,59
1013465817364,23,28,-1,1,-15,-52,74,-27
1013465817364,-74,-39,-4,-3,-3,20,-58,-35
1013465832063,59,-1,6,-9,-16,22,97,59
1013465832063,65,-7,8,16,42,43,-39,-60
1013465833669,42,4,-11,-1,14,3,34,-1
1013465833669,-43,9,11,8,16,39,127,122
1013465862283,42,2,0,-19,-63,9,-21,14
1013465862283,30,7,3,14,45,-4,9,9
1013465863678,-23,-49,3,1,-3,36,8,-11
1013465863678,76,14,4,-6,-23,-34,69,-33
1013465868254,-48,6,-23,-14,-57,-55,-81,-86
1013465868254,-23,-38,-4,-11,-21,21,-2,55
1013465877237,47,28,8,5,9,-1,-43,39
1013465877237,46,9,6,18,74,-14,44,4
1013465892200,-27,63,3,-4,-39,-47,-5,28
1013465892200,-5,-10,-3,-11,-69,-96,34,2
1013465893853,-60,5,-10,-11,-3,7,73,-46
1013465893853,105,11,-7,-2,5,53,5,-10
1013465914665,-46,-6,14,15,55,11,-20,-20
1013465914665,-21,1,1,7,43,70,46,18
1013465916329,17,-13,-3,-20,-38,57,-55,51
1013465916329,8,43,-12,-21,-97,-128,-50,14
1013465928231,8,-25,-1,9,49,87,68,-19
1013465928231,32,-51,-3,-1,1,20,-13,-22
1013465937146,-60,41,19,12,34,80,-4,-42
1013465937146,-11,7,-1,4,29,-1,-71,-3
1013465951533,-20,-12,-4,-5,-23,-59,-90,16
1013465951533,24,-15,4,15,72,104,113,30
1013465959645,-63,-3,-16,-20,-64,-128,-53,-57
1013465959645,4,-22,-4,-5,-29,115,28,-27
1013465974855,-12,70,15,3,3,-76,14,86
1013465974855,-69,5,-15,-20,-31,44,-2,-11
1013465976190,45,-63,-3,21,49,8,79,64
1013465976190,-35,2,4,10,37,34,13,-32
1013465988262,-9,-1,-10,5,70,127,26,-17
1013465988262,52,34,18,-3,-72,-78,71,-30
1013465997210,-1,-42,0,12,60,108,-11,23
1013465997210,-57,29,4,-2,-50,-67,74,-29
1013466012184,20,-1,-4,-6,-6,3,36,21
1013466012184,-17,-21,-10,9,51,23,-2,-23
1013466013673,-59,76,4,-3,-26,-48,-89,-11
1013466013673,100,-52,9,1,31,111,74,54
1013466034675,4,-37,0,0,-44,-92,-81,-69
1013466034675,-7,12,-3,-19,-37,-29,18,-83
1013466036170,33,28,1,-1,-9,-14,56,-19
1013466036170,-56,-27,-13,8,61,43,-56,69
1013466048281,47,17,-8,-8,-31,-22,41,-4
1013466048281,2,-19,37,33,44,43,-87,-22
1013466057230,-77,-7,-9,-18,-43,3,29,-53
1013466057230,123,38,-3,-12,2,-16,12,-25
1013466071828,-103,-41,-3,6,15,49,71,40
1013466071828,15,55,-9,8,45,5,32,57
1013466078334,29,-53,2,10,12,37,43,-22
1013466078334,-47,-13,5,-1,-25,7,-1,26
1013466094680,79,32,-6,-14,-29,-87,-99,-38
1013466094680,-78,-1,-17,-6,-10,-34,-39,16
1013466096160,-49,-25,4,0,9,-8,-63,-2
1013466096160,36,35,-6,9,0,-23,5,-21
1013466108417,-54,-85,19,14,26,127,108,111
1013466108417,13,6,-10,-24,-35,-36,-31,-79
1013466117351,82,8,-3,-10,-45,-21,-52,-40
1013466117351,-42,4,-1,6,42,20,-4,-8
1013466139706,56,107,6,25,64,82,18,-11
1013466139706,-59,-121,-19,-25,-105,-120,-96,-63
1013466141134,101,42,6,-1,23,72,-7,14
1013466141134,-81,11,-5,-7,14,1,89,-33
1013466154718,21,-46,-8,7,14,13,23,49
